sampled_at,year,month,day,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd,,,,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,one_percent_weightloss_sd,five_percent_weightloss,five_percent_weightloss_sd,ten_percent_weightloss,ten_percent_weightloss_sd,crystallinity,crystallinity_sd,birefringence,birefringence_sd,diameter,diameter_sd,water_content_sd,water_content,supercontraction_sd,supercontraction
42135,2015,5,11,Japan,,0.189,0.08,6.31,1.4,1.24,0.3,31.9,6.7,254,291,308,12,37.1,7.5,3.51,0.31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42502,2016,5,12,Japan,7,0.188,0.072,16.9,1.2,1.91,0.39,24.1,7.4,,,,7,81.3,26.7,0.49,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42502,2016,5,12,Japan,4,0.181,0.052,9.35,2.69,1.28,0.15,18.9,4.8,,,,5,38.7,9.8,0.75,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42508,2016,5,18,Japan,4,0.181,0.042,16.6,4.2,1.84,0.36,17.9,2.2,,,,2,88.5,19.2,0.57,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42880,2017,5,25,Japan,14,0.175,0.059,6.85,1.22,0.98,0.1,32.9,6.4,229,284,303,19,33.4,0.5,7.95,0.07,10.4,45.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
42502,2016,5,12,Japan,9,0.165,0.045,8.85,1.35,1.34,0.17,19.4,3.1,213,253,295,,42.7,13,0.97,0.12,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42879,2017,5,24,Japan,11,0.156,0.026,13.1,1.86,2.06,0.25,16.6,1.6,216,278,300,,43.5,4.1,0.57,0.03,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42507,2016,5,17,Japan,10,0.153,0.043,8.52,1.32,1.21,0.19,23.4,4.6,248,280,296,21,35,4.6,1.89,0.07,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42879,2017,5,24,Japan,13,0.152,0.012,37,9.5,2.46,0.33,8.6,1.3,,,,,46.7,9.9,0.54,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42504,2016,5,14,Japan,8,0.144,0.034,9.46,1.49,0.79,0.17,18.8,2.4,,,,10,40.1,7.6,2.43,0.17,,39.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
42508,2016,5,18,Japan,6,0.142,0.028,15.9,8.5,1.46,0.33,17.9,5.8,,,,,63.1,10.3,0.6,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42871,2017,5,16,Japan,10,0.14,0.017,9.3,0.93,0.97,0.09,19.4,2.5,184,266,295,24,53.8,2,1.12,0.03,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42135,2015,5,11,Japan,,0.129,0.063,6.72,1.5,0.62,0.14,28.9,10.6,246,288,307,13,48.9,8.1,4.68,0.54,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42879,2017,5,24,Japan,12,0.129,0.052,7.08,0.94,1.37,0.39,18.7,3.6,,,,,69.4,10.1,0.35,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42508,2016,5,18,Japan,20,0.125,0.042,8.47,1.93,0.74,0.13,24.6,7.1,,,,10,36.3,10.8,3.71,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42879,2017,5,24,Japan,10,0.117,0.01,11.1,2.52,1.34,0.03,15.4,0.2,,,,,64.7,12.2,0.37,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42502,2016,5,12,Japan,4,0.116,0.053,14.9,6.6,1.45,0.55,14.8,2.6,,,,13,34.7,11.4,0.47,0.1,,23.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
42508,2016,5,18,Japan,8,0.107,0.018,9.07,1.45,0.7,0.1,21,1.3,,,,3,39.4,4.9,1.33,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42507,2016,5,17,Japan,10,0.106,0.036,10.1,2.7,0.97,0.11,16.7,3.5,,,,9,52.3,8,0.87,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42135,2015,5,11,Japan,,0.102,0.04,2.59,1.2,0.6,0.15,31,9.7,244,287,306,28,49.6,3,2.69,0.05,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42502,2016,5,12,Japan,11,0.101,0.038,10.9,2.9,0.86,0.18,17.6,5,221,269,295,15,47.7,8.8,1.3,0.07,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42148,2015,5,24,Japan,,0.098,0.044,3.99,0.43,0.75,0.2,25.5,4.3,198,237,280,29,25.5,4.3,1.83,0.1,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42509,2016,5,19,Japan,27,0.093,0.033,7.05,1.41,0.79,0.14,20.6,3.7,,,,27,35.6,6.2,1.26,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42502,2016,5,12,Japan,7,0.077,0.02,8.61,2.3,0.87,0.11,16.6,2.2,,,,,33.7,9.4,1.25,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42503,2016,5,13,Japan,10,0.075,0.012,8.58,2.62,0.92,0.28,16.4,1.4,,,,9,42.5,8.9,1.18,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42504,2016,5,14,Japan,7,0.074,0.022,10,2.4,0.81,0.04,14.2,3.6,,,,18,39.7,4.3,1.37,0.06,,10.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
42880,2017,5,25,Japan,5,0.072,0.02,4.56,1.19,1.04,0.18,14.4,1.7,,,,,74.3,13.4,0.48,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42504,2016,5,14,Japan,8,0.069,0.015,19.5,3.2,1.17,0.12,8.3,1.4,,,,,46.7,9.6,1.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42503,2016,5,13,Japan,4,0.053,0.017,3.26,0.35,0.5,0.06,19.7,5.3,,,,11,39.2,12.7,1.23,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42878,2017,5,23,Japan,8,0.05,0.013,2.19,0.37,0.36,0.09,34.5,3.8,285,302,316,14,39,5.9,1.09,0.04,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42509,2016,5,19,Japan,10,0.048,0.006,4.05,0.58,0.31,0.04,22.9,3.9,,,,13,29.9,9.3,1.5,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42503,2016,5,13,Japan,12,0.039,0.009,10.1,3.6,0.64,0.1,9.9,1.6,,,,21,33.5,10.6,1.35,0.08,,12.9,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
42879,2017,5,24,Japan,6,,,,,,,,,,,,,59.1,16.4,0.45,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42509,2016,5,19,Japan,9,,,,,,,,,,,,,33.8,3.3,0.59,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42913,2017,6,27,Japan,8,0.167,0.042,11,3.02,1.7,0.17,18,2.9,,,,,42.5,4.4,0.57,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42170,2015,6,15,Japan,,0.139,0.063,6.48,3.6,1.01,0.41,26.7,6.1,,,,27,41.5,9.2,1.28,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42913,2017,6,27,Japan,3,0.118,0.032,6.53,1.26,1.16,0.14,18.9,3.8,,,,,43.7,6.8,0.54,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42170,2015,6,15,Japan,8,0.116,0.041,8.79,3.9,0.96,0.23,19.7,3.5,,,,15,65,10.3,1.19,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42170,2015,6,15,Japan,7,0.112,0.019,14.9,6.2,1.18,0.17,14.2,4.1,242,282,297,31,53.5,12.6,1.33,0.22,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42541,2016,6,20,Japan,15,0.112,0.038,7.06,1.08,0.89,0.13,24.3,5.2,217,278,298,30,39.9,9.8,2.87,0.34,3,36.7,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
42541,2016,6,20,Japan,7,0.103,0.03,8.02,2.02,0.94,0.11,21.9,2.1,,,,27,36.3,4.2,1.96,0.12,,35.5,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
42543,2016,6,22,Japan,9,0.102,0.017,13,3.8,1.31,0.2,14.2,1.9,,,,,51.6,8.9,0.87,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42541,2016,6,20,Japan,10,0.096,0.032,7.2,0.3,1.01,0.13,19.7,2.8,,,,4,32.6,1.2,4.46,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42542,2016,6,21,Japan,5,0.083,0.017,6.31,0.54,0.8,0.02,18.6,3.7,,,,20,51.7,11,1.16,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42542,2016,6,21,Japan,3,0.058,0.015,5.74,2.12,0.62,0.09,15.2,1.4,,,,5,30.1,18.7,1.26,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42543,2016,6,22,Japan,8,0.05,0.017,5.29,2.08,0.64,0.16,16.3,0.9,,,,,37.9,6.5,1.17,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42542,2016,6,21,Japan,8,0.05,0.014,6.33,0.26,0.7,0.08,13.1,1.5,210,273,291,21,34.3,9.5,2.09,0.31,2.4,31.6,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
42542,2016,6,21,Japan,11,0.033,0.012,6.03,0.93,0.55,0.07,11.4,1.3,210,260,291,16,34.5,12.2,1.45,0.24,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42913,2017,6,27,Japan,6,,,,,,,,,,,,,31.5,7.1,0.57,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
